rfid,days_diff_sum
762230,39
81502,35
601186,34
620410,32
1948303,31
241022,30
103823,30
85537,29
1861972,28
1340203,28
641215,27
9750081613,27
6449152470,26
1330340650,26
2947734,26
100699,25
604480,25
2723364,25
1333762,25
1221812,24
1083470,24
1455405,24
607836,23
2227,23
101169,23
644602,23
2004528,23
644325,22
1182101,22
1380682,22
1038667559,22
120456,22
995186338,22
3983959139,21
1366439,21
9904631293,21
8398051447,21
603079,21
760828,21
1210520,21
1119867612,21
1251347,20
622855,20
126699,20
603078,20
762737,20
2361745,20
4638268,20
1175697825,20
6871268777,19
604036,19
1336925,19
611644,19
4579815,19
4333431744,19
2020599,19
1261358,19
713066,19
1380028,19
1349973,19
642511,19
3288626,18
794623,18
4111208344,18
731695,18
1353649,18
600279,18
107405,18
3323074,18
3288800,18
1231891,18
3288627,18
1530316677,18
1222470,17
1361505,17
1881723,17
1870238,17
80001,17
660394,17
843984,17
781314,17
8215349032,17
122069,17
221625,17
5619219462,17
9869612214,17
161753,17
601247,17
7575202813,16
1445517,16
8581647668,16
602187,16
1789356152,16
9692500665,16
960166,16
838787,16
601878,15
2150365789,15
221048,15
640050,15
1121968,15
606822,15
1782743,15
81057,15
140288,15
780287,15
720735,15
2098298,15
1397417,14
1395444,14
700199,14
622500,14
3430213420,14
712514,14
3290078270,14
605883,14
2523012103,14
1823168,14
1395524,14
1500898,14
7219300731,14
2802900,14
1339299,14
1386805,14
2940501,14
6121835365,14
9577931967,14
100673,14
1240669,14
1535883,14
3170738856,14
1712306,14
1395625,14
1885922,14
2376807,14
597423575,13
2966900,13
2326620,13
1920135,13
140527,13
4559414853,13
5730094537,13
2886032257,13
1786394,13
1506913,13
1209319,13
7580304368,13
9928789436,13
4559414863,13
1440305,13
3083751,13
2184115198,13
1578514801,13
1900142,13
111948,13
2381529,13
1180815,13
1351590632,13
783476,13
2455252,13
1960079,13
2561231,13
121778,13
1181753,13
2401084120,13
122042,13
2402530,13
5892095456,13
9748064814,13
1710798,13
845178,13
2514073,13
2480145,13
3783525615,13
6453143781,13
2063189,12
1822018,12
3066799492,12
3789719,12
2000661,12
100564,12
2000662,12
2940261,12
1285909,12
80768,12
7681573555,12
763457,12
2508514,12
1794980,12
2986288,12
605653,12
900912,12
1615182,12
7105076614,12
100037,11
581908,11
759914,11
110555,11
1275306560,11
1917997,11
5969653482,11
6546130122,11
122067,11
1460258,11
641406,11
681235,11
1460554,11
2543008,11
729681,11
2331285576,11
705822,11
1722032,11
117796,11
640318,11
2331285577,11
1519,11
3890456,11
702346,11
2022130,10
4771489144,10
7201194166,10
669521,10
2420251,10
2967813,10
564129,10
1940182,10
702637,10
4034081770,10
1922831,10
1240208,10
2326642,10
922523,10
1368234,10
1203319,10
8881439041,10
2922333,10
1200897,10
9792270498,10
152355,10
94159,10
907176,10
1335934,10
1827710,10
2020844,10
1125505,10
2020980,10
1040245,10
848691,10
1903965,10
1522337,10
5532400021,10
3507591,10
8894292062,10
85479,10
127280,10
4302173450,10
4148247,10
212907243,10
87247,10
1181899,10
1267102,10
7201190865,10
7260,10
80912,10
2692518429,10
2715410453,10
9191707394,9
6968000,9
1886578,9
1914814,9
6534719456,9
9655475659,9
80070,9
120697,9
1182880,9
620017,9
101616,9
2622467,9
9189749054,9
1221551,9
723414,9
1740314,9
2523012112,9
3027248,9
6295948828,9
9765870726,9
4108500,9
6583219725,9
80023,9
6061656726,9
1243204,9
1202899,9
2389106,9
600637,9
682114,9
1242608,9
2925960,9
2865700164,9
1960919,9
83337,9
1821650429,9
1199612,9
1614357,9
189755,9
1981811,9
1985044,9
830420,9
940299,9
9407119985,9
8159369121,8
791428,8
4394289,8
1440092,8
618297,8
1163529,8
4040668004,8
1410730,8
2522728,8
4864553396,8
741576,8
4725373247,8
794629,8
768036,8
982718,8
1827653,8
2365813,8
1462618,8
1961371,8
1436544,8
837176,8
5268752801,8
2318115136,8
1448184,8
81828,8
4569527305,8
701691,8
5413639858,8
1863475,8
1541347,8
3932164601,8
886403,8
1261080,8
180779,8
1000291,8
3494050761,7
5313243862,7
6626933754,7
8581659394,7
1430138,7
591464,7
1795182,7
221518,7
2350659,7
9386229417,7
7964963645,7
9903644746,7
1784198,7
703009,7
1361517,7
721235,7
5715633065,7
5638217024,7
80613,7
1380494,7
650481,7
6449203212,7
2989040,7
622839,7
8415327629,7
6297836818,7
4651648549,7
2161225,7
786267,7
3612695,7
120542,7
2605381,7
1334272,7
1220404,7
1640259,7
2937057,7
797127,7
763446667,7
2504514,7
101328,7
582380,7
1366176,7
221114,7
80225,7
3395954599,7
4145483,7
147298,7
2036239,7
3004285,7
9189748990,7
704645,7
14964255,7
1213276,7
6078357774,7
9146742117,7
1515505942,7
1511016,7
8640944764,7
428,7
1753944,7
1381687,7
1326694,7
1500090,7
224124,7
2213237,7
1399456,7
1243904,7
1942080,7
1196868,7
1745106,7
6437956,7
1200680,7
1900195,7
1348101,7
3065454,7
1315113,7
9368758175,7
7652443619,7
7834979643,7
112482,7
7315974178,7
1692221,7
1977252827,7
2961746,7
2471135,7
1160918,7
1903239,7
622785,7
92590,6
1201323,6
1904748,6
5355092252,6
1355926,6
781015,6
4148920,6
13101313,6
1672625,6
3951022291,6
9417798841,6
2435040,6
4930802,6
124919,6
2925889,6
2230252,6
5355095355,6
6508866039,6
1940031,6
9333370016,6
1292785,6
2020037,6
868381,6
640246,6
1824180,6
121160,6
1431196,6
2561430,6
1323076,6
1673676,6
711740,6
696311,6
4559414646,6
1823318,6
184911,6
6945511466,6
8400063899,6
1627931,6
89333,6
182846,6
1801345,6
4327596,6
4272887304,6
1960996,6
783761,6
363630076,6
2326584,6
1617129,6
1440220,6
8544732226,6
5899418,6
5769802817,6
1880774,6
1352312,6
1763590,6
620443,6
740380,6
132301,6
2034345,6
3147684435,6
191876,6
603900,6
980035,6
1266169,6
761663,6
921210,6
6567142976,6
1178887860,6
742493,6
9134240,6
2601194,6
2567861,6
1900557,6
4617518588,6
700729,6
1704580,6
1199122,6
773325,6
1646795,6
4944126,6
1500287,6
1373057,6
1314755,6
3924539,6
9274023072,6
1240409,6
1763376,6
1327025,6
606811,6
8869770248,6
705910,6
866260782,6
1275951,6
2985097,6
3691187904,6
9928763834,6
760225,6
4494218,6
728378,6
818667,6
2361948,6
9194546839,6
1392802571,6
1769084,6
742013,6
720334,6
1460030,6
1475536,6
1040166,6
80412,6
109193,6
5551664278,6
1380177,6
8544727353,6
20598,6
1222410,6
2318115098,6
1544091,6
2350281,6
140009,6
2769576042,6
1822053,6
1178888877,6
