rfid,days_diff_avg
85537,29
9750081613,27
6449152470,26
1330340650,26
2947734,26
2723364,25
1333762,25
1083470,24
1221812,24
2004528,23
2227,23
995186338,22
1038667559,22
1182101,22
9904631293,21
8398051447,21
1119867612,21
1210520,21
3983959139,21
1366439,21
1251347,20
1175697825,20
603078,20
4638268,20
622855,20
2361745,20
1380028,19
2020599,19
642511,19
1261358,19
611644,19
713066,19
4333431744,19
6871268777,19
1336925,19
4579815,19
4111208344,18
3323074,18
3288800,18
731695,18
600279,18
1530316677,18
3288626,18
107405,18
1231891,18
3288627,18
1353649,18
794623,18
81502,17.5
660394,17
5619219462,17
221625,17
781314,17
601186,17
843984,17
8215349032,17
601247,17
80001,17
1445517,16
7575202813,16
9692500665,16
838787,16
1789356152,16
8581647668,16
960166,16
1948303,15.5
103823,15
2150365789,15
606822,15
241022,15
3170738856,14
9577931967,14
1395444,14
1861972,14
1823168,14
1386805,14
1712306,14
1885922,14
1535883,14
605883,14
2940501,14
2523012103,14
1240669,14
1339299,14
700199,14
1397417,14
3290078270,14
2376807,14
1395625,14
712514,14
3430213420,14
7219300731,14
1395524,14
6121835365,14
641215,13.5
762230,13
2514073,13
6453143781,13
4559414863,13
5892095456,13
2561231,13
597423575,13
3083751,13
1786394,13
1351590632,13
7580304368,13
9748064814,13
5730094537,13
2480145,13
3783525615,13
1506913,13
121778,13
122042,13
2401084120,13
1578514801,13
4559414853,13
1960079,13
1209319,13
111948,13
845178,13
9928789436,13
2381529,13
2455252,13
1180815,13
1710798,13
783476,13
2966900,13
2184115198,13
2886032257,13
2402530,13
100699,12.5
2940261,12
763457,12
100564,12
1794980,12
1615182,12
2508514,12
1285909,12
605653,12
1455405,12
900912,12
3066799492,12
7105076614,12
2063189,12
3789719,12
2986288,12
80768,12
2000661,12
7681573555,12
2000662,12
1822018,12
607836,11.5
101169,11.5
705822,11
1275306560,11
3890456,11
759914,11
702346,11
581908,11
1722032,11
641406,11
5969653482,11
122067,11
2331285577,11
100037,11
110555,11
1917997,11
2543008,11
2331285576,11
6546130122,11
117796,11
1380682,11
1460554,11
644325,11
640318,11
681235,11
729681,11
1519,11
620410,10.6666666666667
760828,10.5
603079,10.5
1240208,10
7260,10
127280,10
762737,10
5532400021,10
669521,10
4302173450,10
1181899,10
2022130,10
3507591,10
1522337,10
907176,10
4148247,10
212907243,10
8881439041,10
94159,10
2967813,10
2420251,10
1267102,10
9792270498,10
702637,10
2326642,10
7201194166,10
2715410453,10
2692518429,10
7201190865,10
1368234,10
4771489144,10
2020980,10
1827710,10
1040245,10
1903965,10
1125505,10
1200897,10
848691,10
2922333,10
1335934,10
8894292062,10
1922831,10
1940182,10
152355,10
922523,10
80912,10
604036,9.5
1349973,9.5
1340203,9.33333333333333
1182880,9
9189749054,9
9765870726,9
9191707394,9
6295948828,9
1202899,9
189755,9
2925960,9
830420,9
2523012112,9
6968000,9
1821650429,9
1985044,9
9407119985,9
6583219725,9
940299,9
3027248,9
1960919,9
4108500,9
1740314,9
1221551,9
2622467,9
1914814,9
1981811,9
101616,9
9655475659,9
600637,9
2389106,9
2865700164,9
1886578,9
6534719456,9
1199612,9
1614357,9
6061656726,9
1361505,8.5
161753,8.5
9869612214,8.5
1870238,8.5
1222470,8.5
1881723,8.5
122069,8.5
604480,8.33333333333333
837176,8
982718,8
1863475,8
1541347,8
8159369121,8
768036,8
1000291,8
618297,8
701691,8
2365813,8
1448184,8
4864553396,8
886403,8
5268752801,8
1261080,8
791428,8
602187,8
5413639858,8
1462618,8
4394289,8
794629,8
1410730,8
180779,8
1827653,8
4569527305,8
2318115136,8
1961371,8
81828,8
2522728,8
1436544,8
741576,8
4040668004,8
3932164601,8
4725373247,8
