transaction_id,rfid,type_detail,transaction_date
7-1614-1614-20191005114538-103-4155,3057788,return,2019-10-05 11:45:00
7-1618-1618-20191002114507-101-8041,2004367,return,2019-10-02 11:45:00
7-1618-1618-20191004115843-102-232,6262364,return,2019-10-04 11:58:00
7-1618-1618-20191021202821-101-3503,180734,return,2019-10-21 20:28:00
7-1618-1618-20191011133447-101-76,4239318334,return,2019-10-11 13:34:00
7-1614-1614-20191014205647-103-7205,1703932,return,2019-10-14 20:56:00
7-1614-1614-20191010130947-104-4871,4722659,return,2019-10-10 13:09:00
7-2350-2350-20191007144311-111-4603,1240137,return,2019-10-07 14:43:00
7-1614-1614-20191020111911-104-7746,620668,return,2019-10-20 11:19:00
7-1614-1614-20191012171618-101-6148,3997217619,return,2019-10-12 17:16:00
7-1618-1618-20191014162729-101-873,146158,return,2019-10-14 16:27:00
7-1618-1618-20191016174733-101-1593,2011316,return,2019-10-16 17:47:00
7-1618-1618-20191025132127-101-4645,8436676,return,2019-10-25 13:21:00
7-1614-1614-20191012110644-102-1643,2931896,return,2019-10-12 11:06:00
7-1618-1618-20191010150840-101-9736,1958553,return,2019-10-10 15:08:00
7-1614-1614-20191011093654-104-5012,165347,return,2019-10-11 09:36:00
7-1618-1618-20191015174810-101-1268,7728,return,2019-10-15 17:48:00
7-1618-1618-20191010160021-101-9769,604432351,return,2019-10-10 16:00:00
7-1614-1614-20191028132232-104-36,1816441,return,2019-10-28 13:22:00
7-1618-1618-20191029144026-101-6165,155279,return,2019-10-29 14:40:00
7-1614-1614-20191008122842-102-1095,624446,return,2019-10-08 12:28:00
7-1614-1614-20191008104547-104-4339,990678,return,2019-10-08 10:45:00
7-1618-1618-20191002172832-101-8211,2577328,return,2019-10-02 17:28:00
7-1618-1618-20191002172832-101-8211,704456,return,2019-10-02 17:28:00
7-1614-1614-20191007134606-104-4218,2443722160,return,2019-10-07 13:46:00
7-1618-1618-20191018180153-101-2411,1202163,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1202467,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1220653,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1220756,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1181895,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1181894,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182124,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182120,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1260631,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1261001,return,2019-10-18 18:01:00
7-1618-1618-20191014182542-101-915,1364592,return,2019-10-14 18:25:00
7-1618-1618-20191014182542-101-915,1280047,return,2019-10-14 18:25:00
7-1618-1618-20191014182542-101-915,660207,return,2019-10-14 18:25:00
7-1618-1618-20191014182542-101-915,660188,return,2019-10-14 18:25:00
7-1618-1618-20191001114917-101-7981,3544466766,return,2019-10-01 11:49:00
7-1618-1618-20191001114917-101-7981,3544464814,return,2019-10-01 11:49:00
7-1618-1618-20191001114917-101-7981,1457348,return,2019-10-01 11:49:00
7-1618-1618-20191001114917-101-7981,1614801,return,2019-10-01 11:49:00
7-1618-1618-20191014182542-101-915,1163265,return,2019-10-14 18:25:00
7-1618-1618-20191023141628-102-5531,1886951,return,2019-10-23 14:16:00
7-1618-1618-20191002210707-101-8341,860,return,2019-10-02 21:07:00
7-1618-1618-20191005130416-102-536,1996984,return,2019-10-05 13:04:00
7-2350-2350-20191008170130-111-4639,601250,return,2019-10-08 17:01:00
